,Dataset Name,Model,Accuracy,F1_score,RMSE
0,HeartDisease,NextConvGeN,0.6183774834437086,0.6127231475659961,0.8568103584849871
1,HeartDisease,CTGAN,0.554635761589404,0.5312503707135809,1.3914764281735106
2,HeartDisease,CTABGAN,0.41721854304635764,0.4215211956602758,1.2931753977480365
3,HeartDisease,TabDDPM,0.6051324503311258,0.6042183808028521,1.3268164050958335
0,LungCancer,NextConvGeN,0.5994005994005994,0.5983132516517501,
1,LungCancer,CTGAN,0.5144855144855145,0.510294319218269,
2,LungCancer,CTABGAN,0.4975024975024975,0.46496805750797093,
3,LungCancer,TabDDPM,0.6103896103896106,0.6091050543247506,
0,IndianLiverPatients,NextConvGeN,0.6254416961130742,0.6285606344431777,1.2577472730173165
1,IndianLiverPatients,CTGAN,0.7314487632508834,0.6567518853989278,1.2381144091820933
2,IndianLiverPatients,CTABGAN,0.5865724381625441,0.6102082996009258,1.3662494110310974
3,IndianLiverPatients,TabDDPM,0.6607773851590106,0.634562906763567,1.4066965770046553
0,ContraceptiveMethods,NextConvGeN,0.4571629213483146,0.4604299400399135,
1,ContraceptiveMethods,CTGAN,0.47419241573033705,0.4453635166754507,
2,ContraceptiveMethods,CTABGAN,0.3442766853932584,0.3323030288049099,
3,ContraceptiveMethods,TabDDPM,0.4775280898876405,0.4730954636799544,
0,Migraine,NextConvGeN,0.7861702127659574,0.7822652607583148,
1,Migraine,CTGAN,0.7686170212765957,0.7534581823166412,
2,Migraine,CTABGAN,0.5050531914893617,0.5105783803757097,
3,Migraine,TabDDPM,0.8007978723404255,0.7946024827686711,
0,Stroke,NextConvGeN,0.7350448247758761,0.7327254839557521,1.2963138184308465
1,Stroke,CTGAN,0.6888345558272209,0.6902245896985753,1.4682547075600154
2,Stroke,CTABGAN,0.5257538712306438,0.5712054627948802,1.4362587844455792
3,Stroke,TabDDPM,0.7682966585167075,0.7690708348751788,1.2666271113806662
0,PimaIndianDiabetes,NextConvGeN,0.7083333333333334,0.7071940104166666,1.2869566593102792
1,PimaIndianDiabetes,CTGAN,0.6119791666666666,0.5956092859798979,1.436171225594816
2,PimaIndianDiabetes,CTABGAN,0.6015625,0.5693758234519104,1.4095070614639518
3,PimaIndianDiabetes,TabDDPM,0.5208333333333334,0.5328758818342152,1.0173144407397692
0,Obesity,NextConvGeN,0.8286914235190098,0.828311894000493,
1,Obesity,CTGAN,0.5734600648393753,0.5778122067660367,
2,Obesity,CTABGAN,0.33517536103743,0.3941642729537509,
3,Obesity,TabDDPM,0.8426908340701443,0.8421737781213997,
0,LiverCirrhosis,NextConvGeN,0.6403508771929824,0.6373652086869764,1.0810518461629015
1,LiverCirrhosis,CTGAN,0.5239234449760765,0.5454828321383093,1.4369652623436941
2,LiverCirrhosis,CTABGAN,0.4481658692185007,0.47402865266930155,1.4725815750990843
3,LiverCirrhosis,TabDDPM,0.5215311004784688,0.5295091753712661,1.2151618179892274
0,HeartFailure,NextConvGeN,0.5549999999999999,0.5544535080191186,1.064943271678631
1,HeartFailure,CTGAN,0.54,0.5438396947229098,1.4640618066911955
2,HeartFailure,CTABGAN,0.5666666666666667,0.5297839292630692,1.3393290856169466
3,HeartFailure,TabDDPM,0.58,0.5762487408209774,1.3920766754157154
